model,label name,F1,ROC AUC,precision,recall,accuracy,F1 macro,F1 micro,F1 weighted,ROC AUC macro,precision macro,recall macro,F1 - label,ROC AUC - label,precision - label,recall - label,accuracy - label,batch_size,weight_decay,learning_rate,num_epochs,class_weight
oro_any_societal,,,,,,,0.7555304575600577,0.7919543526055338,0.8004363195361872,0.8011525508096847,0.7210006828346832,0.8105643683278627,,,,,,32,0.0,5e-05,4,"{0: 1.7794117647058822, 1: 0.33098591549295775}"
oro_any_societal,oro_any.SA_Built_infrastructure_and_technology,,,,,,,,,,,,0.6405399274047187,0.8151678119426974,0.7685592185592185,0.6093704160065716,0.7570967084151669,32,0.0,5e-05,3,-1
oro_any_societal,oro_any.SA_Socioinstitutional,,,,,,,,,,,,0.901424419071478,0.8143662693835704,0.8418392969240426,0.9702614379084967,0.8422223295448448,16,0.0,5e-05,3,-1
data_type,,,,,,,0.8333488635293693,0.9096562160117273,0.9105757673765874,0.9169199845781284,0.8217081612245712,0.84588497387259,,,,,,32,0.0,1e-05,4,-1
data_type,Primary,,,,,,,,,,,,0.948088983262377,0.8925487324572413,0.9328301542625285,0.9638720985470212,0.911240345335596,16,0.0,5e-05,3,-1
data_type,Secondary,,,,,,,,,,,,0.7235268947116715,0.9234125136410215,0.7014041514041515,0.7474074074074074,0.9159684777233029,32,0.0,1e-05,4,-1
adapt_to_threat,,,,,,,0.4709824315155446,0.5286315439417776,0.5426952686312135,0.8357041450986576,0.5408748235545622,0.4944825496731995,,,,,,32,0.0,5e-05,4,"{0: 2.116788321167883, 1: 12.774193548387096, 2: 6.116666666666666}"
adapt_to_threat,Human,,,,,,,,,,,,0.7868762062310449,0.9240771779115979,0.7467477203647417,0.8332209864060219,0.8548917140577769,16,0.0,5e-05,3,-1
adapt_to_threat,Natural,,,,,,,,,,,,0.4636636636636637,0.8301968084462364,0.3715296198054818,0.6833333333333332,0.8843517499073786,32,0.0,5e-05,3,"{0: 2.116788321167883, 1: 12.774193548387096, 2: 6.116666666666666}"
adapt_to_threat,Both,,,,,,,,,,,,0.3359219434488252,0.736342961215149,0.4891067538126362,0.26874003189792656,0.8545208801450155,32,0.0,5e-05,4,"{0: 2.116788321167883, 1: 12.774193548387096, 2: 6.116666666666666}"
adapt_to_threat_simplified,,,,,,,0.638818525343348,0.7239809745036226,0.7229855118282161,0.8802569473867443,0.6018033031313362,0.6899731060154434,,,,,,16,0.0,5e-05,3,-1
adapt_to_threat_simplified,adapt_to_threat.Human,,,,,,,,,,,,0.8560111755856438,0.9084170842253813,0.7911872716089583,0.9335820895522388,0.856884946338869,16,0.0,5e-05,3,-1
adapt_to_threat_simplified,adapt_to_threat.Natural,,,,,,,,,,,,0.6261701261701261,0.8852834515068903,0.6106332138590204,0.6514887436456064,0.8347119362862726,16,0.0,5e-05,3,-1
adapt_to_threat_simplified,adapt_to_threat.Both,,,,,,,,,,,,0.43427427427427423,0.8470703064279617,0.4035894239260298,0.4848484848484848,0.8257687048939272,16,0.0,5e-05,3,-1
adapt_to_threat_simplified2,,,,,,,0.7175443714228603,0.7706086086652887,0.7589821743231809,0.882999178207155,0.812196067510825,0.6753937285251302,,,,,,32,0.0,5e-05,4,-1
adapt_to_threat_simplified2,adapt_to_threat.Human,,,,,,,,,,,,0.8503320647542156,0.9022782212100479,0.7997876749989427,0.9081260364842455,0.8548484965717033,16,0.0,5e-05,4,"{0: 1.2010309278350515, 1: 3.6923076923076925}"
adapt_to_threat_simplified2,adapt_to_threat.Natural,,,,,,,,,,,,0.6038532735054126,0.8719767903999943,0.8132275132275133,0.4885984023238925,0.8655005613045268,32,0.0,5e-05,4,-1
climate_threat,,,,,,,0.5423409417891183,0.7122815689488421,0.6945138660893077,0.2808624826423469,0.5265517865403014,0.5969007106688267,,,,,,16,0.0,5e-05,4,-1
climate_threat,Temperature,,,,,,,,,,,,0.6313131313131312,0.9902167792792792,0.5833333333333334,0.7999999999999999,0.9764889905196869,16,0.0,5e-05,4,-1
climate_threat,Acidification,,,,,,,,,,,,0.4666666666666666,0.33093525179856115,0.4444444444444444,0.5,0.9885505029434943,16,0.0,5e-05,4,-1
climate_threat,SLR,,,,,,,,,,,,0.8075743348982786,0.9605644536159025,0.7273330384785494,0.9090909090909092,0.8894074987217732,16,0.0,5e-05,4,-1
climate_threat,Extreme_weather,,,,,,,,,,,,0.6983870967741935,0.9063166553745964,0.6163947163947164,0.8183451009537966,0.8718078745744907,16,0.0,5e-05,4,-1
climate_threat,General_CC,,,,,,,,,,,,0.6650752448935447,0.885631591662274,0.8457142857142858,0.5511599511599511,0.8675220243628122,32,0.0,5e-05,4,-1
