model,label name,F1,precision,recall,n
impact_ncp_nested,impact_ncp.Material,0.88004368004368,0.8065789473684211,0.9814814814814816,
impact_ncp_nested,impact_ncp.Nonmaterial,0.0,0.0,0.0,
m_co2_ocean_storage,,0.5826419826419826,0.6403578390420496,0.5685361552028219,201.0
m_co2_ocean_storage,Inorganic,0.5497835497835498,0.4871794871794871,0.6547619047619048,69.0
m_co2_ocean_storage,Organic,0.7952257693413861,0.7574074074074074,0.8529629629629629,195.0
m_co2_ocean_storage,Deep_sediments,0.4538461538461538,0.4821428571428571,0.4592592592592592,70.0
m_co2_removal,,0.2597119341563785,0.254979769685652,0.3004807692307692,224.0
m_co2_removal,Bioenergy,0.6666666666666666,0.6666666666666666,0.6666666666666666,34.0
m_co2_removal,Openocean_PP,0.3333333333333333,0.3333333333333333,0.3333333333333333,48.0
m_co2_removal,Macroalgae_kelp_cultivation,0.2222222222222222,0.3333333333333333,0.1666666666666666,36.0
m_co2_removal,Microalgae_cultivation,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.0
m_co2_removal,Weathering_and_alkinalization,0.2666666666666666,0.2222222222222222,0.3333333333333333,42.0
m_co2_removal,Coastal_blue_carbon_ecosystems,0.7249382716049383,0.7521008403361344,0.8028846153846154,91.0
marine_system,,0.704494785636466,0.7096280068736762,0.7233078839072992,852.0
marine_system,land,0.8589663072243946,0.8033369520264682,0.922883597883598,261.0
marine_system,coastal ocean,0.7778704275165347,0.7572750740120822,0.806878306878307,562.0
marine_system,open-ocean,0.5214253143117712,0.4898078529657477,0.5917397660818713,139.0
method_type,,0.3388041528000959,0.4999666521978894,0.2950435216044346,771.0
method_type,Experimental_exsitu,0.4481481481481482,0.7222222222222222,0.3611111111111111,57.0
method_type,Experimental_insitu,0.074074074074074,0.1333333333333333,0.0512820512820512,54.0
method_type,Expert_opinion,0.0,0.0,0.0,77.0
method_type,Method_or_technology_development,0.2142857142857142,0.5555555555555555,0.1589743589743589,79.0
method_type,Observational,0.4330701977760801,0.73989898989899,0.3070048309178743,175.0
method_type,Mathematical_predictionsimulation,0.7036601307189542,0.6558558558558558,0.7591397849462366,252.0
method_type,Social_primary,0.6058879392212726,0.7709401709401709,0.5131573407435477,154.0
method_type_nested,,0.4082325510651308,0.5265003359541175,0.3671392423725843,
method_type_nested,method_type.Experimental_exsitu,0.5492063492063491,0.638888888888889,0.4861111111111111,
method_type_nested,method_type.Experimental_insitu,0.2095238095238095,0.4166666666666667,0.1416666666666666,
method_type_nested,method_type.Expert_opinion,0.2891774891774891,0.6,0.2925925925925925,
method_type_nested,method_type.Method_or_technology_development,0.4156281771968046,0.4841269841269841,0.3776223776223776,
method_type_nested,method_type.Observational,0.4682090776424972,0.6687710437710438,0.4064687581021519,
method_type_nested,method_type.Mathematical_predictionsimulation,0.7949367088607594,0.7601953601953602,0.8361111111111111,
method_type_nested,method_type.Social_primary,0.698080433374551,0.8676470588235294,0.6011904761904762,
oro_development_stage,,0.5323262807621231,0.5948907041375088,0.5259979040015192,945.0
